行号	误识	纠正为	置信度	原句
28	内分泌显	内分泌腺	high	那么如果神经系统是总论的话,其实下一章内分泌显然也是总论,因为哪个系统活动也得拍体液调节。
312	对侧身肌反射	对侧伸肌反射	high	对侧身肌反射,
321	保重书	饱中枢	high	保重书是吧,
489	巨石细胞	巨噬细胞	high	有单核巨石细胞,
515	巨石细胞	巨噬细胞	high	那么单核巨石细胞,
527	巨石细胞	巨噬细胞	high	那么巨石细胞是具有吞噬异物,
540	巨石细胞	巨噬细胞	high	实际上就属于一类单核巨石细胞,
643	感觉习惯	感觉器官	medium	你听完感觉习惯,
647	曲级化	去极化	high	听毛细胞曲级化超级化都他妈讲了一字影响在,
647	超级化	超极化	high	听毛细胞曲级化超级化都他妈讲了一字影响在,
703	狼肥节	郎飞结	high	在狼肥节之间跳一时传导,
769	动作点位	动作电位	high	导致细胞动作点位的时候平台期,
777	自身调解	自身调节	high	登上自身调解,
829	动作点位	动作电位	high	其实这个部位是一个神经元在体内最早发生动作点位的部位,
835	动作点位	动作电位	high	一个细胞接受适当刺激后能产生动作点位,
836	动作点位	动作电位	high	那么能够让细胞产动作点位所需要那个最小的刺激强度,
837	预强度	阈强度	high	叫预强度,
838	预刺激	阈刺激	high	预刺激,
840	动作点位	动作电位	high	动作点位也能发生,
844	预点位	阈电位	high	预点位本身背后藏着的是,
848	助细胞	主细胞	high	正好可以帮助细胞完成一个正反馈式动作点位,
848	动作点位	动作电位	high	正好可以帮助细胞完成一个正反馈式动作点位,
849	预点位	阈电位	high	实际上预点位的本质是在这个情况下能够同时开放的,
859	预点位	阈电位	high	就更容易达到预点位所需要的通道数量,
894	动作点位	动作电位	high	动作点位,
919	下秋脑	下丘脑	high	你比如下秋脑的世上十方核,
983	神经线围	神经纤维	high	神经线围上性物传播的四大特征,
1000	神经线围	神经纤维	high	实际上这条神经线围上,
1006	动作点位	动作电位	high	动作点位是从轴突往外轴传,
1009	动作点位	动作电位	high	动作点位是在这产生的,
1020	神经线围	神经纤维	high	在同一条神经线围上,
1021	动作点位	动作电位	high	动作点位传导是没有方向性的,
1024	动作点位	动作电位	high	轴突始端产生动作点位以后,
1030	动作点位	动作电位	high	动作点位在这传说回去干嘛去了,
1040	复计化	复极化	high	如果细胞膜没有再完成复计化,
1051	超长期	超常期	high	超长期,
1057	动作点位	动作电位	high	动作点位沿着这往外传到过程中,
1064	复计化	复极化	high	然后跟着就要复计化了,
1067	复计化	复极化	high	往上就复计化,
1068	复计化	复极化	high	所以在复计化的时候,
1344	动作点微	动作电位	high	神经元是会发生动作点微的,
1346	局部点微	局部电位	high	只会有局部点微,
1361	预电位	阈电位	high	如何从静气电位到达预电位的,
1364	预电位	阈电位	high	把膜电位直接变到预电位水平,
1369	预电位	阈电位	high	那么在预电位之后,
1377	区计划	去极化	high	让膜发生进一步区计划,
1383	预电位	阈电位	high	把膜电位从进气电位变到预电位这个水平,
1469	狼飞结	郎飞结	high	狼飞结,
1480	狼飞结	郎飞结	high	狼飞结直接跳一上去,
1490	狼飞结	郎飞结	high	只有狼飞结这几个地方才需要纳内磊恢复粒子,
1495	纳甲绷	钠钾泵	high	这样的话都需要纳甲绷,
1496	纳甲绷	钠钾泵	high	全程需要纳甲绷耗能,
1497	狼飞结	郎飞结	high	而有随纤维上只需要狼飞结裸露出有几个纳绷,
1573	神经线位	神经纤维	high	痛是通过两类不同的神经线位传入的,
1578	神经线位	神经纤维	high	从神经线位传入,
1579	神经线位	神经纤维	high	从神经线位分类上,
1620	建器官	腱器官	high	建器官的传入线位,
1686	神经线位	神经纤维	high	污水的神经线位,
1689	神经线位	神经纤维	high	这是有关神经线位的分类,
1691	神经线位	神经纤维	high	就是神经线位的分类,
1716	下秋脑	下丘脑	high	你看咱们前面说这个下秋脑市场是弯核,
1718	下秋脑	下丘脑	high	你下秋脑吹体术,
1725	下秋脑	下丘脑	high	抗氧激素是下秋脑合成的,
1727	下秋脑	下丘脑	high	下秋脑合成好以后怎么跑到吹体后腋去?
1981	醋胃液素	促胃液素	high	就像味蜜素也叫醋胃液素,
1982	醋胃液素	促胃液素	high	醋胃液素就有刺激胃研磨增生的作用,
2092	神经较致细胞	神经胶质细胞	high	神经较致细胞不能产生动作电力,
