行号	疑似误识	建议术语	原句
35	续负极	壶腹嵴	说这我没听懂,你再往下看,继续负极化,哎,这个点头所指,负后电位,再往后面走,正后电位,
57	心理失常	心律失常	要不是为了研究临床上极其复杂的心电图,心理失常这样复杂的临床心脏病的问题,
71	有超计划	后超极化	复计划的过程中,既有去计划的状态或者阶段,也有超计划的状态或者阶段,
117	基细胞	壁细胞	第二个你看谷歌基细胞静气电位就负90号伏,
332	着细胞	主细胞	是紧贴着细胞膜外表面,
875	衡点位	锋电位	那的平衡点位是正的,
877	衡点位	锋电位	假的平衡点位是负的,
880	衡点位	锋电位	假平衡点位负90到负100,
881	衡点位	锋电位	那平衡点位就多少?
885	衡点位	锋电位	因为那的平衡点位只需要阻碍十二三倍,
887	衡点位	锋电位	而假平衡点位需要阻碍30倍浓度差,
901	衡点位	锋电位	平衡点位绝对是大小不一样,
902	衡点位	锋电位	因为平衡点位,
903	衡点位	锋电位	不同粒子的平衡点位,
908	衡点位	锋电位	这是所谓的平衡点位的概念,
909	衡点位	锋电位	平衡点位是算出来的,
921	衡点位	锋电位	静系点位就更接近于哪一种粒子的平衡点位,
926	衡点位	锋电位	完全等于那假的平衡点位了,
967	衡点位	锋电位	咱们刚才为了学习平衡点位的产生,
1006	粒子能	离子泵	那么最后甲粒子能不能含外流,
1021	甲流通道	钾漏通道	甲粒子顺着甲流通道向模外流动,
1304	基细胞	壁细胞	谷歌基细胞-90,
1305	基细胞	壁细胞	心室基细胞-90,
1419	基细胞	壁细胞	这个骨骼基细胞去几化,
1427	心理失常	心律失常	人要发生心理失常的,
1647	基细胞	壁细胞	什么这个基细胞,
1651	础细胞	主细胞	这些基础细胞接触刺激,
1652	基细胞	壁细胞	是能动作电位的基细胞,
1669	基细胞	壁细胞	基细胞,
1678	腺体细胞	前体细胞	内蜂蜜的腺体细胞,
1687	腺体细胞	前体细胞	腺体细胞,
1897	风变位	锋电位	风变位是动机地位产生的标志,
1995	时候两	视后像	接下来咱们看这个东西内部产生的时候两个问题,
2390	哪盖交换第	钠钙交换体	哪盖交换第一节解答题,
2480	时候强	视后像	你会教材有时候强调,
2609	解抗器	拮抗剂	非选择性的假通道解抗器,
2722	估刺激	阈刺激	二次是毫估刺激,
2750	压强度	阈强度	电压强度越大,
2752	压强度	阈强度	电压强度大,
