行号	误识	纠正为	置信度	原句
13	收缩器	收缩期	high	搏出量只有三分之一到外周去了,在收缩器的时候。
14	收缩器	收缩期	high	那么这样在收缩器里边就有三分之二的搏出量,把血管向气球那里吹搭了。
23	收缩器	收缩期	high	不管怎么样吧,没有外周阻力的话,那么在心扎术上,这个收缩器,
231	到血压	高血压	medium	所以咱们在学到血压这地方,你码码码看有多重要。在临床医学上,每天都是血压血压血压血压。
432	快速摄血系	快速射血期	medium	实际上快速摄血系就是
434	收缩去	收缩期	medium	你等人收缩去0.05,
731	数章期	舒张期	high	心脏不蹦雪的数章期,主动脉根部回弹,
743	数章期	舒张期	high	数章期太短,
745	数章期	舒张期	high	外周阻力增加了以后,心率没有变好,数章期时间倒是够了,
755	数章期	舒张期	high	都是数章期的时候
863	出账期	舒张期	medium	出账期就有余血可流。
871	输张期	舒张期	high	在主动脉回弹的时候,输张期
876	输张压	舒张压	high	输张压相对越高一点。
877	输张压	舒张压	high	输张压
1023	脉搏呀	脉搏压	high	什么叫脉搏呀?前面讲过,再重复一下
1393	中心静脉已	中心静脉压	medium	它这个中心静脉已经很低了
